date,fishing_zone,com_management_action,rec_management_action,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6
11/25/2019,3,Closed,,,,"H, L",H,,
11/25/2019,4,Closed,,,,"H, L",H,,
11/25/2019,5,Closed,,,,"H, L",H,,
11/25/2019,6,Closed,,,,"H, L",H,,
11/26/2019,1,Closed,,C,C,,,,
11/26/2019,2,Closed,,C,C,,,,
11/26/2019,3,Closed,,,,"H, L",H,,
11/26/2019,4,Closed,,,,"H, L",H,,
11/26/2019,5,Closed,,,,"H, L",H,,
11/26/2019,6,Closed,,,,"H, L",H,,
11/27/2019,1,Closed,,C,C,,,,
11/27/2019,2,Closed,,C,C,,,,
11/27/2019,3,Closed,,,,"H, L",H,,
11/27/2019,4,Closed,,,,"H, L",H,,
11/27/2019,5,Closed,,,,"H, L",H,,
11/27/2019,6,Closed,,,,"H, L",H,,
11/28/2019,1,Closed,,C,C,,,,
11/28/2019,2,Closed,,C,C,,,,
11/28/2019,3,Closed,,,,"H, L",H,,
11/28/2019,4,Closed,,,,"H, L",H,,
11/28/2019,5,Closed,,,,"H, L",H,,
11/28/2019,6,Closed,,,,"H, L",H,,
11/29/2019,1,Closed,,C,C,,,,
11/29/2019,2,Closed,,C,C,,,,
11/29/2019,3,Closed,,,,"H, L",H,,
11/29/2019,4,Closed,,,,"H, L",H,,
11/29/2019,5,Closed,,,,"H, L",H,,
11/29/2019,6,Closed,,,,"H, L",H,,
11/30/2019,1,Closed,,C,C,,,,
11/30/2019,2,Closed,,C,C,,,,
11/30/2019,3,Closed,,,,"H, L",H,,
11/30/2019,4,Closed,,,,"H, L",H,,
11/30/2019,5,Closed,,,,"H, L",H,,
11/30/2019,6,Closed,,,,"H, L",H,,
12/01/2019,1,Closed,,C,C,,,,
12/01/2019,2,Closed,,C,C,,,,
12/01/2019,3,Closed,,,,"H, L",H,,
12/01/2019,4,Closed,,,,"H, L",H,,
12/01/2019,5,Closed,,,,"H, L",H,,
12/01/2019,6,Closed,,,,"H, L",H,,
12/02/2019,1,Closed,,C,C,,,,
12/02/2019,2,Closed,,C,C,,,,
12/02/2019,3,Closed,,,,"H, L",H,,
12/02/2019,4,Closed,,,,"H, L",H,,
12/02/2019,5,Closed,,,,"H, L",H,,
12/02/2019,6,Closed,,,,"H, L",H,,
12/03/2019,1,Closed,,C,C,,,,
12/03/2019,2,Closed,,C,C,,,,
12/03/2019,3,Closed,,,,"H, L",H,,
12/03/2019,4,Closed,,,,"H, L",H,,
12/03/2019,5,Closed,,,,"H, L",H,,
12/03/2019,6,Closed,,,,"H, L",H,,
12/04/2019,1,Closed,,C,C,,,,
12/04/2019,2,Closed,,C,C,,,,
12/04/2019,3,Closed,,,,"H, L",H,,
12/04/2019,4,Closed,,,,"H, L",H,,
12/04/2019,5,Closed,,,,"H, L",H,,
12/04/2019,6,Closed,,,,"H, L",H,,
12/05/2019,1,Closed,,C,C,,,,
12/05/2019,2,Closed,,C,C,,,,
12/05/2019,3,Closed,,,,"H, L",H,,
12/05/2019,4,Closed,,,,"H, L",H,,
12/05/2019,5,Closed,,,,"H, L",H,,
12/05/2019,6,Closed,,,,"H, L",H,,
12/06/2019,1,Closed,,C,C,,,,
12/06/2019,2,Closed,,C,C,,,,
12/06/2019,3,Closed,,,,"H, L",H,,
12/06/2019,4,Closed,,,,"H, L",H,,
12/06/2019,5,Closed,,,,"H, L",H,,
12/06/2019,6,Closed,,,,"H, L",H,,
12/07/2019,1,Closed,,C,C,,,,
12/07/2019,2,Closed,,C,C,,,,
12/07/2019,3,Closed,,,,"H, L",H,,
12/07/2019,4,Closed,,,,"H, L",H,,
12/07/2019,5,Closed,,,,"H, L",H,,
12/07/2019,6,Closed,,,,"H, L",H,,
12/08/2019,1,Closed,,C,C,,,,
12/08/2019,2,Closed,,C,C,,,,
12/08/2019,3,Closed,,,,"H, L",H,,
12/08/2019,4,Closed,,,,"H, L",H,,
12/08/2019,5,Closed,,,,"H, L",H,,
12/08/2019,6,Closed,,,,"H, L",H,,
12/09/2019,1,Closed,,C,C,,,,
12/09/2019,2,Closed,,C,C,,,,
12/09/2019,3,Closed,,,,"H, L",H,,
12/09/2019,4,Closed,,,,"H, L",H,,
12/09/2019,5,Closed,,,,"H, L",H,,
12/09/2019,6,Closed,,,,"H, L",H,,
12/10/2019,1,Closed,,C,C,,,,
12/10/2019,2,Closed,,C,C,,,,
12/10/2019,3,Closed,,,,"H, L",H,,
12/10/2019,4,Closed,,,,"H, L",H,,
12/10/2019,5,Closed,,,,"H, L",H,,
12/10/2019,6,Closed,,,,"H, L",H,,
12/11/2019,1,Closed,,C,C,,,,
12/11/2019,2,Closed,,C,C,,,,
12/11/2019,3,Closed,,,,"H, L",H,,
12/11/2019,4,Closed,,,,"H, L",H,,
12/11/2019,5,Closed,,,,"H, L",H,,
12/11/2019,6,Closed,,,,"H, L",H,,
12/12/2019,1,Closed,,C,C,,,,
12/12/2019,2,Closed,,C,C,,,,
12/12/2019,3,Closed,,,,"H, L",H,,
12/12/2019,4,Closed,,,,"H, L",H,,
12/12/2019,5,Closed,,,,"H, L",H,,
12/12/2019,6,Closed,,,,"H, L",H,,
12/13/2019,1,Closed,,C,C,,,,
12/13/2019,2,Closed,,C,C,,,,
12/13/2019,3,Closed,,,,"H, L",H,,
12/13/2019,4,Closed,,,,"H, L",H,,
12/13/2019,5,Closed,,,,"H, L",H,,
12/13/2019,6,Closed,,,,"H, L",H,,
12/14/2019,1,Closed,,C,C,,,,
12/14/2019,2,Closed,,C,C,,,,
12/14/2019,3,Closed,,,,"H, L",H,,
12/14/2019,4,Closed,,,,"H, L",H,,
12/14/2019,5,Closed,,,,"H, L",H,,
12/14/2019,6,Closed,,,,"H, L",H,,
12/15/2019,1,Closed,,C,C,,,,
12/15/2019,2,Closed,,C,C,,,,
12/15/2019,3,Open,,,,,,,
12/15/2019,4,Open,,,,,,,
12/15/2019,5,Open,,,,,,,
12/15/2019,6,Open,,,,,,,
12/16/2019,1,Closed,,C,C,,,,
12/16/2019,2,Closed,,C,C,,,,
12/16/2019,3,Open,,,,,,,
12/16/2019,4,Open,,,,,,,
12/16/2019,5,Open,,,,,,,
12/16/2019,6,Open,,,,,,,
12/17/2019,1,Closed,,C,C,,,,
12/17/2019,2,Closed,,C,C,,,,
12/17/2019,3,Open,,,,,,,
12/17/2019,4,Open,,,,,,,
12/17/2019,5,Open,,,,,,,
12/17/2019,6,Open,,,,,,,
12/18/2019,1,Closed,,C,C,,,,
12/18/2019,2,Closed,,C,C,,,,
12/18/2019,3,Open,,,,,,,
12/18/2019,4,Open,,,,,,,
12/18/2019,5,Open,,,,,,,
12/18/2019,6,Open,,,,,,,
12/19/2019,1,Closed,,C,C,,,,
12/19/2019,2,Closed,,C,C,,,,
12/19/2019,3,Open,,,,,,,
12/19/2019,4,Open,,,,,,,
12/19/2019,5,Open,,,,,,,
12/19/2019,6,Open,,,,,,,
12/20/2019,1,Closed,,C,C,,,,
12/20/2019,2,Closed,,C,C,,,,
12/20/2019,3,Open,,,,,,,
12/20/2019,4,Open,,,,,,,
12/20/2019,5,Open,,,,,,,
12/20/2019,6,Open,,,,,,,
12/21/2019,1,Closed,,C,C,,,,
12/21/2019,2,Closed,,C,C,,,,
12/21/2019,3,Open,,,,,,,
12/21/2019,4,Open,,,,,,,
12/21/2019,5,Open,,,,,,,
12/21/2019,6,Open,,,,,,,
12/22/2019,1,Closed,,C,C,,,,
12/22/2019,2,Closed,,C,C,,,,
12/22/2019,3,Open,,,,,,,
12/22/2019,4,Open,,,,,,,
12/22/2019,5,Open,,,,,,,
12/22/2019,6,Open,,,,,,,
12/23/2019,1,Closed,,C,C,,,,
12/23/2019,2,Closed,,C,C,,,,
12/23/2019,3,Open,,,,,,,
12/23/2019,4,Open,,,,,,,
12/23/2019,5,Open,,,,,,,
12/23/2019,6,Open,,,,,,,
12/24/2019,1,Closed,,C,C,,,,
12/24/2019,2,Closed,,C,C,,,,
12/24/2019,3,Open,,,,,,,
12/24/2019,4,Open,,,,,,,
12/24/2019,5,Open,,,,,,,
12/24/2019,6,Open,,,,,,,
12/25/2019,1,Closed,,C,C,,,,
12/25/2019,2,Closed,,C,C,,,,
12/25/2019,3,Open,,,,,,,
12/25/2019,4,Open,,,,,,,
12/25/2019,5,Open,,,,,,,
12/25/2019,6,Open,,,,,,,
12/26/2019,1,Closed,,C,C,,,,
12/26/2019,2,Closed,,C,C,,,,
12/26/2019,3,Open,,,,,,,
12/26/2019,4,Open,,,,,,,
12/26/2019,5,Open,,,,,,,
12/26/2019,6,Open,,,,,,,
12/27/2019,1,Closed,,C,C,,,,
12/27/2019,2,Closed,,C,C,,,,
12/27/2019,3,Open,,,,,,,
12/27/2019,4,Open,,,,,,,
12/27/2019,5,Open,,,,,,,
12/27/2019,6,Open,,,,,,,
12/28/2019,1,Closed,,C,C,,,,
12/28/2019,2,Closed,,C,C,,,,
12/28/2019,3,Open,,,,,,,
12/28/2019,4,Open,,,,,,,
12/28/2019,5,Open,,,,,,,
12/28/2019,6,Open,,,,,,,
12/29/2019,1,Closed,,C,C,,,,
12/29/2019,2,Closed,,C,C,,,,
12/29/2019,3,Open,,,,,,,
12/29/2019,4,Open,,,,,,,
12/29/2019,5,Open,,,,,,,
12/29/2019,6,Open,,,,,,,
12/30/2019,1,Closed,,C,C,,,,
12/30/2019,2,Closed,,C,C,,,,
12/30/2019,3,Open,,,,,,,
12/30/2019,4,Open,,,,,,,
12/30/2019,5,Open,,,,,,,
12/30/2019,6,Open,,,,,,,
12/31/2019,1,Open,,,,,,,
12/31/2019,2,Open,,,,,,,
12/31/2019,3,Open,,,,,,,
12/31/2019,4,Open,,,,,,,
12/31/2019,5,Open,,,,,,,
12/31/2019,6,Open,,,,,,,
01/01/2020,1,Open,,,,,,,
01/01/2020,2,Open,,,,,,,
01/01/2020,3,Open,,,,,,,
01/01/2020,4,Open,,,,,,,
01/01/2020,5,Open,,,,,,,
01/01/2020,6,Open,,,,,,,
01/02/2020,1,Open,,,,,,,
01/02/2020,2,Open,,,,,,,
01/02/2020,3,Open,,,,,,,
01/02/2020,4,Open,,,,,,,
01/02/2020,5,Open,,,,,,,
01/02/2020,6,Open,,,,,,,
01/03/2020,1,Open,,,,,,,
01/03/2020,2,Open,,,,,,,
01/03/2020,3,Open,,,,,,,
01/03/2020,4,Open,,,,,,,
01/03/2020,5,Open,,,,,,,
01/03/2020,6,Open,,,,,,,
01/04/2020,1,Open,,,,,,,
01/04/2020,2,Open,,,,,,,
01/04/2020,3,Open,,,,,,,
01/04/2020,4,Open,,,,,,,
01/04/2020,5,Open,,,,,,,
01/04/2020,6,Open,,,,,,,
01/05/2020,1,Open,,,,,,,
01/05/2020,2,Open,,,,,,,
01/05/2020,3,Open,,,,,,,
01/05/2020,4,Open,,,,,,,
01/05/2020,5,Open,,,,,,,
01/05/2020,6,Open,,,,,,,
01/06/2020,1,Open,,,,,,,
01/06/2020,2,Open,,,,,,,
01/06/2020,3,Open,,,,,,,
01/06/2020,4,Open,,,,,,,
01/06/2020,5,Open,,,,,,,
01/06/2020,6,Open,,,,,,,
01/07/2020,1,Open,,,,,,,
01/07/2020,2,Open,,,,,,,
01/07/2020,3,Open,,,,,,,
01/07/2020,4,Open,,,,,,,
01/07/2020,5,Open,,,,,,,
01/07/2020,6,Open,,,,,,,
01/08/2020,1,Open,,,,,,,
01/08/2020,2,Open,,,,,,,
01/08/2020,3,Open,,,,,,,
01/08/2020,4,Open,,,,,,,
01/08/2020,5,Open,,,,,,,
01/08/2020,6,Open,,,,,,,
01/09/2020,1,Open,,,,,,,
01/09/2020,2,Open,,,,,,,
01/09/2020,3,Open,,,,,,,
01/09/2020,4,Open,,,,,,,
01/09/2020,5,Open,,,,,,,
01/09/2020,6,Open,,,,,,,
01/10/2020,1,Open,,,,,,,
01/10/2020,2,Open,,,,,,,
01/10/2020,3,Open,,,,,,,
01/10/2020,4,Open,,,,,,,
01/10/2020,5,Open,,,,,,,
01/10/2020,6,Open,,,,,,,
01/11/2020,1,Open,,,,,,,
01/11/2020,2,Open,,,,,,,
01/11/2020,3,Open,,,,,,,
01/11/2020,4,Open,,,,,,,
01/11/2020,5,Open,,,,,,,
01/11/2020,6,Open,,,,,,,
01/12/2020,1,Open,,,,,,,
01/12/2020,2,Open,,,,,,,
01/12/2020,3,Open,,,,,,,
01/12/2020,4,Open,,,,,,,
01/12/2020,5,Open,,,,,,,
01/12/2020,6,Open,,,,,,,
01/13/2020,1,Open,,,,,,,
01/13/2020,2,Open,,,,,,,
01/13/2020,3,Open,,,,,,,
01/13/2020,4,Open,,,,,,,
01/13/2020,5,Open,,,,,,,
01/13/2020,6,Open,,,,,,,
01/14/2020,1,Open,,,,,,,
01/14/2020,2,Open,,,,,,,
01/14/2020,3,Open,,,,,,,
