date,fishing_zone,com_management_action,rec_management_action,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6
01/12/2021,6,Fleet_Advisory,,,,,"H, B",,
01/13/2021,1,Fleet_Advisory,,,,,"H, B",,
01/13/2021,2,Fleet_Advisory,,,,,"H, B",,
01/13/2021,3,Fleet_Advisory,,,,,"H, B",,
01/13/2021,4,Fleet_Advisory,,,,,"H, B",,
01/13/2021,5,Fleet_Advisory,,,,,"H, B",,
01/13/2021,6,Fleet_Advisory,,,,,"H, B",,
01/14/2021,1,Fleet_Advisory,,,,,"H, B",,
01/14/2021,2,Fleet_Advisory,,,,,"H, B",,
01/14/2021,3,Fleet_Advisory,,,,,"H, B",,
01/14/2021,4,Fleet_Advisory,,,,,"H, B",,
01/14/2021,5,Fleet_Advisory,,,,,"H, B",,
01/14/2021,6,Fleet_Advisory,,,,,"H, B",,
01/15/2021,1,Fleet_Advisory,,,,,"H, B",,
01/15/2021,2,Fleet_Advisory,,,,,"H, B",,
01/15/2021,3,Fleet_Advisory,,,,,"H, B",,
01/15/2021,4,Fleet_Advisory,,,,,"H, B",,
01/15/2021,5,Fleet_Advisory,,,,,"H, B",,
01/15/2021,6,Fleet_Advisory,,,,,"H, B",,
01/16/2021,1,Open,,,,,,,
01/16/2021,2,Open,,,,,,,
01/16/2021,3,Open,,,,,,,
01/16/2021,4,Open,,,,,,,
01/16/2021,5,Open,,,,,,,
01/16/2021,6,Open,,,,,,,
01/17/2021,1,Open,,,,,,,
01/17/2021,2,Open,,,,,,,
01/17/2021,3,Open,,,,,,,
01/17/2021,4,Open,,,,,,,
01/17/2021,5,Open,,,,,,,
01/17/2021,6,Open,,,,,,,
01/18/2021,1,Open,,,,,,,
01/18/2021,2,Open,,,,,,,
01/18/2021,3,Open,,,,,,,
01/18/2021,4,Open,,,,,,,
01/18/2021,5,Open,,,,,,,
01/18/2021,6,Open,,,,,,,
01/19/2021,1,Open,,,,,,,
01/19/2021,2,Open,,,,,,,
01/19/2021,3,Open,,,,,,,
01/19/2021,4,Open,,,,,,,
01/19/2021,5,Open,,,,,,,
01/19/2021,6,Open,,,,,,,
01/20/2021,1,Open,,,,,,,
01/20/2021,2,Open,,,,,,,
01/20/2021,3,Open,,,,,,,
01/20/2021,4,Open,,,,,,,
01/20/2021,5,Open,,,,,,,
01/20/2021,6,Open,,,,,,,
01/21/2021,1,Open,,,,,,,
01/21/2021,2,Open,,,,,,,
01/21/2021,3,Open,,,,,,,
01/21/2021,4,Open,,,,,,,
01/21/2021,5,Open,,,,,,,
01/21/2021,6,Open,,,,,,,
01/22/2021,1,Open,,,,,,,
01/22/2021,2,Open,,,,,,,
01/22/2021,3,Open,,,,,,,
01/22/2021,4,Open,,,,,,,
01/22/2021,5,Open,,,,,,,
01/22/2021,6,Open,,,,,,,
01/23/2021,1,Open,,,,,,,
01/23/2021,2,Open,,,,,,,
01/23/2021,3,Open,,,,,,,
01/23/2021,4,Open,,,,,,,
01/23/2021,5,Open,,,,,,,
01/23/2021,6,Open,,,,,,,
01/24/2021,1,Open,,,,,,,
01/24/2021,2,Open,,,,,,,
01/24/2021,3,Open,,,,,,,
01/24/2021,4,Open,,,,,,,
01/24/2021,5,Open,,,,,,,
01/24/2021,6,Open,,,,,,,
01/25/2021,1,Open,,,,,,,
01/25/2021,2,Open,,,,,,,
01/25/2021,3,Open,,,,,,,
01/25/2021,4,Open,,,,,,,
01/25/2021,5,Open,,,,,,,
01/25/2021,6,Open,,,,,,,
01/26/2021,1,Open,,,,,,,
01/26/2021,2,Open,,,,,,,
01/26/2021,3,Open,,,,,,,
01/26/2021,4,Open,,,,,,,
01/26/2021,5,Open,,,,,,,
01/26/2021,6,Open,,,,,,,
01/27/2021,1,Open,,,,,,,
01/27/2021,2,Open,,,,,,,
01/27/2021,3,Open,,,,,,,
01/27/2021,4,Open,,,,,,,
01/27/2021,5,Open,,,,,,,
01/27/2021,6,Open,,,,,,,
01/28/2021,1,Open,,,,,,,
01/28/2021,2,Open,,,,,,,
01/28/2021,3,Open,,,,,,,
01/28/2021,4,Open,,,,,,,
01/28/2021,5,Open,,,,,,,
01/28/2021,6,Open,,,,,,,
01/29/2021,1,Open,,,,,,,
01/29/2021,2,Open,,,,,,,
01/29/2021,3,Open,,,,,,,
01/29/2021,4,Open,,,,,,,
01/29/2021,5,Open,,,,,,,
01/29/2021,6,Open,,,,,,,
01/30/2021,1,Open,,,,,,,
01/30/2021,2,Open,,,,,,,
01/30/2021,3,Open,,,,,,,
01/30/2021,4,Open,,,,,,,
01/30/2021,5,Open,,,,,,,
01/30/2021,6,Open,,,,,,,
01/31/2021,1,Open,,,,,,,
01/31/2021,2,Open,,,,,,,
01/31/2021,3,Open,,,,,,,
01/31/2021,4,Open,,,,,,,
01/31/2021,5,Open,,,,,,,
01/31/2021,6,Open,,,,,,,
02/01/2021,1,Open,,,,,,,
02/01/2021,2,Open,,,,,,,
02/01/2021,3,Open,,,,,,,
02/01/2021,4,Open,,,,,,,
02/01/2021,5,Open,,,,,,,
02/01/2021,6,Open,,,,,,,
02/02/2021,1,Open,,,,,,,
02/02/2021,2,Open,,,,,,,
02/02/2021,3,Open,,,,,,,
02/02/2021,4,Open,,,,,,,
02/02/2021,5,Open,,,,,,,
02/02/2021,6,Open,,,,,,,
02/03/2021,1,Open,,,,,,,
02/03/2021,2,Open,,,,,,,
02/03/2021,3,Open,,,,,,,
02/03/2021,4,Open,,,,,,,
02/03/2021,5,Open,,,,,,,
02/03/2021,6,Open,,,,,,,
02/04/2021,1,Open,,,,,,,
02/04/2021,2,Open,,,,,,,
02/04/2021,3,Open,,,,,,,
02/04/2021,4,Open,,,,,,,
02/04/2021,5,Open,,,,,,,
02/04/2021,6,Open,,,,,,,
02/05/2021,1,Open,,,,,,,
02/05/2021,2,Open,,,,,,,
02/05/2021,3,Open,,,,,,,
02/05/2021,4,Open,,,,,,,
02/05/2021,5,Open,,,,,,,
02/05/2021,6,Open,,,,,,,
02/06/2021,1,Open,,,,,,,
02/06/2021,2,Open,,,,,,,
02/06/2021,3,Open,,,,,,,
02/06/2021,4,Open,,,,,,,
02/06/2021,5,Open,,,,,,,
02/06/2021,6,Open,,,,,,,
02/07/2021,1,Open,,,,,,,
02/07/2021,2,Open,,,,,,,
02/07/2021,3,Open,,,,,,,
02/07/2021,4,Open,,,,,,,
02/07/2021,5,Open,,,,,,,
02/07/2021,6,Open,,,,,,,
02/08/2021,1,Open,,,,,,,
02/08/2021,2,Open,,,,,,,
02/08/2021,3,Open,,,,,,,
02/08/2021,4,Open,,,,,,,
02/08/2021,5,Open,,,,,,,
02/08/2021,6,Open,,,,,,,
02/09/2021,1,Open,,,,,,,
02/09/2021,2,Open,,,,,,,
02/09/2021,3,Open,,,,,,,
02/09/2021,4,Open,,,,,,,
02/09/2021,5,Open,,,,,,,
02/09/2021,6,Open,,,,,,,
02/10/2021,1,Open,,,,,,,
02/10/2021,2,Open,,,,,,,
02/10/2021,3,Open,,,,,,,
02/10/2021,4,Open,,,,,,,
02/10/2021,5,Open,,,,,,,
02/10/2021,6,Open,,,,,,,
02/11/2021,1,Open,,,,,,,
02/11/2021,2,Open,,,,,,,
02/11/2021,3,Open,,,,,,,
02/11/2021,4,Open,,,,,,,
02/11/2021,5,Open,,,,,,,
02/11/2021,6,Open,,,,,,,
02/12/2021,1,Open,,,,,,,
02/12/2021,2,Open,,,,,,,
02/12/2021,3,Open,,,,,,,
02/12/2021,4,Open,,,,,,,
02/12/2021,5,Open,,,,,,,
02/12/2021,6,Open,,,,,,,
02/13/2021,1,Open,,,,,,,
02/13/2021,2,Open,,,,,,,
02/13/2021,3,Open,,,,,,,
02/13/2021,4,Open,,,,,,,
02/13/2021,5,Open,,,,,,,
02/13/2021,6,Open,,,,,,,
02/14/2021,1,Open,,,,,,,
02/14/2021,2,Open,,,,,,,
02/14/2021,3,Open,,,,,,,
02/14/2021,4,Open,,,,,,,
02/14/2021,5,Open,,,,,,,
02/14/2021,6,Open,,,,,,,
02/15/2021,1,Open,,,,,,,
02/15/2021,2,Open,,,,,,,
02/15/2021,3,Open,,,,,,,
02/15/2021,4,Open,,,,,,,
02/15/2021,5,Open,,,,,,,
02/15/2021,6,Open,,,,,,,
02/16/2021,1,Open,,,,,,,
02/16/2021,2,Open,,,,,,,
02/16/2021,3,Open,,,,,,,
02/16/2021,4,Open,,,,,,,
02/16/2021,5,Open,,,,,,,
02/16/2021,6,Open,,,,,,,
02/17/2021,1,Open,,,,,,,
02/17/2021,2,Open,,,,,,,
02/17/2021,3,Open,,,,,,,
02/17/2021,4,Open,,,,,,,
02/17/2021,5,Open,,,,,,,
02/17/2021,6,Open,,,,,,,
02/18/2021,1,Open,,,,,,,
02/18/2021,2,Open,,,,,,,
02/18/2021,3,Open,,,,,,,
02/18/2021,4,Open,,,,,,,
02/18/2021,5,Open,,,,,,,
02/18/2021,6,Open,,,,,,,
02/19/2021,1,Open,,,,,,,
02/19/2021,2,Open,,,,,,,
02/19/2021,3,Open,,,,,,,
02/19/2021,4,Open,,,,,,,
02/19/2021,5,Open,,,,,,,
02/19/2021,6,Open,,,,,,,
02/20/2021,1,Open,,,,,,,
02/20/2021,2,Open,,,,,,,
02/20/2021,3,Open,,,,,,,
02/20/2021,4,Open,,,,,,,
02/20/2021,5,Open,,,,,,,
02/20/2021,6,Open,,,,,,,
02/21/2021,1,Open,,,,,,,
02/21/2021,2,Open,,,,,,,
02/21/2021,3,Open,,,,,,,
02/21/2021,4,Open,,,,,,,
02/21/2021,5,Open,,,,,,,
02/21/2021,6,Open,,,,,,,
02/22/2021,1,Open,,,,,,,
02/22/2021,2,Open,,,,,,,
02/22/2021,3,Open,,,,,,,
02/22/2021,4,Open,,,,,,,
02/22/2021,5,Open,,,,,,,
02/22/2021,6,Open,,,,,,,
02/23/2021,1,Open,,,,,,,
02/23/2021,2,Open,,,,,,,
02/23/2021,3,Open,,,,,,,
02/23/2021,4,Open,,,,,,,
02/23/2021,5,Open,,,,,,,
02/23/2021,6,Open,,,,,,,
02/24/2021,1,Open,,,,,,,
02/24/2021,2,Open,,,,,,,
02/24/2021,3,Open,,,,,,,
02/24/2021,4,Open,,,,,,,
02/24/2021,5,Open,,,,,,,
02/24/2021,6,Open,,,,,,,
02/25/2021,1,Open,,,,,,,
02/25/2021,2,Open,,,,,,,
02/25/2021,3,Open,,,,,,,
02/25/2021,4,Open,,,,,,,
02/25/2021,5,Open,,,,,,,
02/25/2021,6,Open,,,,,,,
02/26/2021,1,Open,,,,,,,
02/26/2021,2,Open,,,,,,,
02/26/2021,3,Open,,,,,,,
02/26/2021,4,Open,,,,,,,
02/26/2021,5,Open,,,,,,,
02/26/2021,6,Open,,,,,,,
02/27/2021,1,Open,,,,,,,
02/27/2021,2,Open,,,,,,,
02/27/2021,3,Open,,,,,,,
02/27/2021,4,Open,,,,,,,
02/27/2021,5,Open,,,,,,,
02/27/2021,6,Open,,,,,,,
02/28/2021,1,Open,,,,,,,
02/28/2021,2,Open,,,,,,,
02/28/2021,3,Open,,,,,,,
02/28/2021,4,Open,,,,,,,
02/28/2021,5,Open,,,,,,,
02/28/2021,6,Open,,,,,,,
03/01/2021,1,Open,,,,,,,
03/01/2021,2,Open,,,,,,,
03/01/2021,3,Open,,,,,,,
03/01/2021,4,Open,,,,,,,
03/01/2021,5,Open,,,,,,,
03/01/2021,6,Open,,,,,,,
03/02/2021,1,Open,,,,,,,
03/02/2021,2,Open,,,,,,,
03/02/2021,3,Open,,,,,,,
03/02/2021,4,Open,,,,,,,
03/02/2021,5,Open,,,,,,,
03/02/2021,6,Open,,,,,,,
03/03/2021,1,Open,,,,,,,
03/03/2021,2,Open,,,,,,,
03/03/2021,3,Open,,,,,,,
03/03/2021,4,Open,,,,,,,
03/03/2021,5,Open,,,,,,,
03/03/2021,6,Open,,,,,,,
03/04/2021,1,Open,,,,,,,
03/04/2021,2,Open,,,,,,,
03/04/2021,3,Open,,,,,,,
03/04/2021,4,Open,,,,,,,
03/04/2021,5,Open,,,,,,,
03/04/2021,6,Open,,,,,,,
03/05/2021,1,Open,,,,,,,
03/05/2021,2,Open,,,,,,,
03/05/2021,3,Open,,,,,,,
03/05/2021,4,Open,,,,,,,
03/05/2021,5,Open,,,,,,,
03/05/2021,6,Open,,,,,,,
03/06/2021,1,Open,,,,,,,
03/06/2021,2,Open,,,,,,,
03/06/2021,3,Open,,,,,,,
03/06/2021,4,Open,,,,,,,
03/06/2021,5,Open,,,,,,,
03/06/2021,6,Open,,,,,,,
03/07/2021,1,Open,,,,,,,
03/07/2021,2,Open,,,,,,,
03/07/2021,3,Open,,,,,,,
03/07/2021,4,Open,,,,,,,
03/07/2021,5,Open,,,,,,,
03/07/2021,6,Open,,,,,,,
03/08/2021,1,Open,,,,,,,
03/08/2021,2,Open,,,,,,,
03/08/2021,3,Open,,,,,,,
03/08/2021,4,Open,,,,,,,
03/08/2021,5,Open,,,,,,,
03/08/2021,6,Open,,,,,,,
03/09/2021,1,Open,,,,,,,
03/09/2021,2,Open,,,,,,,
03/09/2021,3,Open,,,,,,,
03/09/2021,4,Open,,,,,,,
03/09/2021,5,Open,,,,,,,
03/09/2021,6,Open,,,,,,,
03/10/2021,1,Open,,,,,,,
03/10/2021,2,Open,,,,,,,
03/10/2021,3,Open,,,,,,,
03/10/2021,4,Open,,,,,,,
03/10/2021,5,Open,,,,,,,
03/10/2021,6,Open,,,,,,,
03/11/2021,1,Open,,,,,,,
03/11/2021,2,Open,,,,,,,
03/11/2021,3,Open,,,,,,,
03/11/2021,4,Open,,,,,,,
03/11/2021,5,Open,,,,,,,
03/11/2021,6,Open,,,,,,,
03/12/2021,1,Open,,,,,,,
03/12/2021,2,Open,,,,,,,
03/12/2021,3,Open,,,,,,,
03/12/2021,4,Open,,,,,,,
03/12/2021,5,Open,,,,,,,
03/12/2021,6,Open,,,,,,,
03/13/2021,1,Open,,,,,,,
03/13/2021,2,Open,,,,,,,
03/13/2021,3,Open,,,,,,,
03/13/2021,4,Open,,,,,,,
03/13/2021,5,Open,,,,,,,
03/13/2021,6,Open,,,,,,,
03/14/2021,1,Open,,,,,,,
03/14/2021,2,Open,,,,,,,
03/14/2021,3,Open,,,,,,,
03/14/2021,4,Open,,,,,,,
03/14/2021,5,Open,,,,,,,
03/14/2021,6,Open,,,,,,,
03/15/2021,1,Open,,,,,,,
03/15/2021,2,Open,,,,,,,
03/15/2021,3,Open,,,,,,,
03/15/2021,4,Open,,,,,,,
03/15/2021,5,Open,,,,,,,
03/15/2021,6,Open,,,,,,,
03/16/2021,1,Open,,,,,,,
03/16/2021,2,Open,,,,,,,
03/16/2021,3,Open,,,,,,,
03/16/2021,4,Open,,,,,,,
03/16/2021,5,Open,,,,,,,
03/16/2021,6,Open,,,,,,,
03/17/2021,1,Open,,,,,,,
03/17/2021,2,Open,,,,,,,
03/17/2021,3,Open,,,,,,,
03/17/2021,4,Open,,,,,,,
03/17/2021,5,Open,,,,,,,
03/17/2021,6,Open,,,,,,,
03/18/2021,1,Fleet_Advisory,,,,,H,,
03/18/2021,2,Fleet_Advisory,,,,,H,,
03/18/2021,3,Fleet_Advisory,,,,,H,,
03/18/2021,4,Fleet_Advisory,,,,,H,,
03/18/2021,5,Fleet_Advisory,,,,,H,,
03/18/2021,6,Fleet_Advisory,,,,,H,,
03/19/2021,1,Fleet_Advisory,,,,,H,,
03/19/2021,2,Fleet_Advisory,,,,,H,,
03/19/2021,3,Fleet_Advisory,,,,,H,,
03/19/2021,4,Fleet_Advisory,,,,,H,,
03/19/2021,5,Fleet_Advisory,,,,,H,,
03/19/2021,6,Fleet_Advisory,,,,,H,,
03/20/2021,1,Fleet_Advisory,,,,,H,,
03/20/2021,2,Fleet_Advisory,,,,,H,,
03/20/2021,3,Fleet_Advisory,,,,,H,,
03/20/2021,4,Fleet_Advisory,,,,,H,,
03/20/2021,5,Fleet_Advisory,,,,,H,,
03/20/2021,6,Fleet_Advisory,,,,,H,,
03/21/2021,1,Fleet_Advisory,,,,,H,,
03/21/2021,2,Fleet_Advisory,,,,,H,,
03/21/2021,3,Fleet_Advisory,,,,,H,,
03/21/2021,4,Fleet_Advisory,,,,,H,,
03/21/2021,5,Fleet_Advisory,,,,,H,,
03/21/2021,6,Fleet_Advisory,,,,,H,,
03/22/2021,1,Fleet_Advisory,,,,,H,,
03/22/2021,2,Fleet_Advisory,,,,,H,,
03/22/2021,3,Fleet_Advisory,,,,,H,,
03/22/2021,4,Fleet_Advisory,,,,,H,,
03/22/2021,5,Fleet_Advisory,,,,,H,,
03/22/2021,6,Fleet_Advisory,,,,,H,,
03/23/2021,1,Fleet_Advisory,,,,,H,,
03/23/2021,2,Fleet_Advisory,,,,,H,,
03/23/2021,3,Fleet_Advisory,,,,,H,,
03/23/2021,4,Fleet_Advisory,,,,,H,,
03/23/2021,5,Fleet_Advisory,,,,,H,,
03/23/2021,6,Fleet_Advisory,,,,,H,,
03/24/2021,1,Fleet_Advisory,,,,,H,,
03/24/2021,2,Fleet_Advisory,,,,,H,,
03/24/2021,3,Fleet_Advisory,,,,,H,,
03/24/2021,4,Fleet_Advisory,,,,,H,,
03/24/2021,5,Fleet_Advisory,,,,,H,,
03/24/2021,6,Fleet_Advisory,,,,,H,,
03/25/2021,1,Fleet_Advisory,,,,,H,,
03/25/2021,2,Fleet_Advisory,,,,,H,,
03/25/2021,3,Fleet_Advisory,,,,,H,,
03/25/2021,4,Fleet_Advisory,,,,,H,,
03/25/2021,5,Fleet_Advisory,,,,,H,,
03/25/2021,6,Fleet_Advisory,,,,,H,,
03/26/2021,1,Fleet_Advisory,,,,,H,,
03/26/2021,2,Fleet_Advisory,,,,,H,,
03/26/2021,3,Fleet_Advisory,,,,,H,,
03/26/2021,4,Fleet_Advisory,,,,,H,,
03/26/2021,5,Fleet_Advisory,,,,,H,,
03/26/2021,6,Fleet_Advisory,,,,,H,,
03/27/2021,1,Fleet_Advisory,,,,,H,,
03/27/2021,2,Fleet_Advisory,,,,,H,,
03/27/2021,3,Fleet_Advisory,,,,,H,,
03/27/2021,4,Fleet_Advisory,,,,,H,,
03/27/2021,5,Fleet_Advisory,,,,,H,,
03/27/2021,6,Fleet_Advisory,,,,,H,,
03/28/2021,1,Fleet_Advisory,,,,,H,,
03/28/2021,2,Fleet_Advisory,,,,,H,,
03/28/2021,3,Fleet_Advisory,,,,,H,,
03/28/2021,4,Fleet_Advisory,,,,,H,,
03/28/2021,5,Fleet_Advisory,,,,,H,,
03/28/2021,6,Fleet_Advisory,,,,,H,,
03/29/2021,1,Fleet_Advisory,,,,,H,,
03/29/2021,2,Fleet_Advisory,,,,,H,,
03/29/2021,3,Fleet_Advisory,,,,,H,,
03/29/2021,4,Fleet_Advisory,,,,,H,,
03/29/2021,5,Fleet_Advisory,,,,,H,,
03/29/2021,6,Fleet_Advisory,,,,,H,,
03/30/2021,1,Fleet_Advisory,,,,,H,,
03/30/2021,2,Fleet_Advisory,,,,,H,,
03/30/2021,3,Fleet_Advisory,,,,,H,,
03/30/2021,4,Fleet_Advisory,,,,,H,,
03/30/2021,5,Fleet_Advisory,,,,,H,,
03/30/2021,6,Fleet_Advisory,,,,,H,,
03/31/2021,1,Fleet_Advisory,,,,,H,,
03/31/2021,2,Fleet_Advisory,,,,,H,,
03/31/2021,3,Fleet_Advisory,,,,,H,,
03/31/2021,4,Fleet_Advisory,,,,,H,,
03/31/2021,5,Fleet_Advisory,,,,,H,,
03/31/2021,6,Fleet_Advisory,,,,,H,,
04/01/2021,1,Fleet_Advisory,,,,,H,,
04/01/2021,2,Fleet_Advisory,,,,,H,,
04/01/2021,3,Fleet_Advisory,,,,,H,,
04/01/2021,4,Fleet_Advisory,,,,,H,,
04/01/2021,5,Fleet_Advisory,,,,,H,,
04/01/2021,6,Fleet_Advisory,,,,,H,,
04/02/2021,1,Fleet_Advisory,,,,,H,,
04/02/2021,2,Fleet_Advisory,,,,,H,,
04/02/2021,3,Fleet_Advisory,,,,,H,,
04/02/2021,4,Fleet_Advisory,,,,,H,,
04/02/2021,5,Fleet_Advisory,,,,,H,,
04/02/2021,6,Fleet_Advisory,,,,,H,,
04/03/2021,1,Fleet_Advisory,,,,,H,,
04/03/2021,2,Fleet_Advisory,,,,,H,,
04/03/2021,3,Fleet_Advisory,,,,,H,,
04/03/2021,4,Fleet_Advisory,,,,,H,,
04/03/2021,5,Fleet_Advisory,,,,,H,,
04/03/2021,6,Fleet_Advisory,,,,,H,,
04/04/2021,1,Fleet_Advisory,,,,,H,,
04/04/2021,2,Fleet_Advisory,,,,,H,,
04/04/2021,3,Fleet_Advisory,,,,,H,,
04/04/2021,4,Fleet_Advisory,,,,,H,,
04/04/2021,5,Fleet_Advisory,,,,,H,,
04/04/2021,6,Fleet_Advisory,,,,,H,,
04/05/2021,1,Fleet_Advisory,,,,,H,,
04/05/2021,2,Fleet_Advisory,,,,,H,,
04/05/2021,3,Fleet_Advisory,,,,,H,,
04/05/2021,4,Fleet_Advisory,,,,,H,,
04/05/2021,5,Fleet_Advisory,,,,,H,,
04/05/2021,6,Fleet_Advisory,,,,,H,,
04/06/2021,1,Fleet_Advisory,,,,,H,,
04/06/2021,2,Fleet_Advisory,,,,,H,,
04/06/2021,3,Fleet_Advisory,,,,,H,,
04/06/2021,4,Fleet_Advisory,,,,,H,,
04/06/2021,5,Fleet_Advisory,,,,,H,,
04/06/2021,6,Fleet_Advisory,,,,,H,,
04/07/2021,1,Fleet_Advisory,,,,,H,,
04/07/2021,2,Fleet_Advisory,,,,,H,,
04/07/2021,3,Fleet_Advisory,,,,,H,,
04/07/2021,4,Fleet_Advisory,,,,,H,,
04/07/2021,5,Fleet_Advisory,,,,,H,,
04/07/2021,6,Fleet_Advisory,,,,,H,,
04/08/2021,1,Fleet_Advisory,,,,,H,,
04/08/2021,2,Fleet_Advisory,,,,,H,,
04/08/2021,3,Fleet_Advisory,,,,,H,,
04/08/2021,4,Fleet_Advisory,,,,,H,,
04/08/2021,5,Fleet_Advisory,,,,,H,,
04/08/2021,6,Fleet_Advisory,,,,,H,,
04/09/2021,1,Fleet_Advisory,,,,,H,,
04/09/2021,2,Fleet_Advisory,,,,,H,,
04/09/2021,3,Fleet_Advisory,,,,,H,,
04/09/2021,4,Fleet_Advisory,,,,,H,,
04/09/2021,5,Fleet_Advisory,,,,,H,,
04/09/2021,6,Fleet_Advisory,,,,,H,,
04/10/2021,1,Fleet_Advisory,,,,,H,,
04/10/2021,2,Fleet_Advisory,,,,,H,,
04/10/2021,3,Fleet_Advisory,,,,,H,,
04/10/2021,4,Fleet_Advisory,,,,,H,,
04/10/2021,5,Fleet_Advisory,,,,,H,,
04/10/2021,6,Fleet_Advisory,,,,,H,,
04/11/2021,1,Fleet_Advisory,,,,,H,,
04/11/2021,2,Fleet_Advisory,,,,,H,,
04/11/2021,3,Fleet_Advisory,,,,,H,,
04/11/2021,4,Fleet_Advisory,,,,,H,,
04/11/2021,5,Fleet_Advisory,,,,,H,,
04/11/2021,6,Fleet_Advisory,,,,,H,,
04/12/2021,1,Fleet_Advisory,,,,,H,,
04/12/2021,2,Fleet_Advisory,,,,,H,,
04/12/2021,3,Fleet_Advisory,,,,,H,,
04/12/2021,4,Fleet_Advisory,,,,,H,,
04/12/2021,5,Fleet_Advisory,,,,,H,,
04/12/2021,6,Fleet_Advisory,,,,,H,,
04/13/2021,1,Fleet_Advisory,,,,,H,,
04/13/2021,2,Fleet_Advisory,,,,,H,,
04/13/2021,3,Fleet_Advisory,,,,,H,,
04/13/2021,4,Fleet_Advisory,,,,,H,,
04/13/2021,5,Fleet_Advisory,,,,,H,,
04/13/2021,6,Fleet_Advisory,,,,,H,,
04/14/2021,1,Fleet_Advisory,,,,,H,,
04/14/2021,2,Fleet_Advisory,,,,,H,,
04/14/2021,3,Fleet_Advisory,,,,,H,,
04/14/2021,4,Fleet_Advisory,,,,,H,,
04/14/2021,5,Fleet_Advisory,,,,,H,,
04/14/2021,6,Fleet_Advisory,,,,,H,,
04/15/2021,1,Fleet_Advisory,,,,,H,,
04/15/2021,2,Fleet_Advisory,,,,,H,,
04/15/2021,3,Fleet_Advisory,,,,,H,,
04/15/2021,4,Fleet_Advisory,,,,,H,,
04/15/2021,5,Fleet_Advisory,,,,,H,,
04/15/2021,6,Fleet_Advisory,,,,,H,,
04/16/2021,1,Fleet_Advisory,,,,,H,,
04/16/2021,2,Fleet_Advisory,,,,,H,,
04/16/2021,3,Fleet_Advisory,,,,,H,,
04/16/2021,4,Fleet_Advisory,,,,,H,,
04/16/2021,5,Fleet_Advisory,,,,,H,,
04/16/2021,6,Fleet_Advisory,,,,,H,,
04/17/2021,1,Fleet_Advisory,,,,,H,,
04/17/2021,2,Fleet_Advisory,,,,,H,,
04/17/2021,3,Fleet_Advisory,,,,,H,,
04/17/2021,4,Fleet_Advisory,,,,,H,,
04/17/2021,5,Fleet_Advisory,,,,,H,,
04/17/2021,6,Fleet_Advisory,,,,,H,,
04/18/2021,1,Fleet_Advisory,,,,,H,,
04/18/2021,2,Fleet_Advisory,,,,,H,,
04/18/2021,3,Fleet_Advisory,,,,,H,,
04/18/2021,4,Fleet_Advisory,,,,,H,,
04/18/2021,5,Fleet_Advisory,,,,,H,,
04/18/2021,6,Fleet_Advisory,,,,,H,,
04/19/2021,1,Fleet_Advisory,,,,,H,,
04/19/2021,2,Fleet_Advisory,,,,,H,,
04/19/2021,3,Fleet_Advisory,,,,,H,,
04/19/2021,4,Fleet_Advisory,,,,,H,,
04/19/2021,5,Fleet_Advisory,,,,,H,,
04/19/2021,6,Fleet_Advisory,,,,,H,,
04/20/2021,1,Fleet_Advisory,,,,,H,,
04/20/2021,2,Fleet_Advisory,,,,,H,,
04/20/2021,3,Fleet_Advisory,,,,,H,,
04/20/2021,4,Fleet_Advisory,,,,,H,,
04/20/2021,5,Fleet_Advisory,,,,,H,,
04/20/2021,6,Fleet_Advisory,,,,,H,,
04/21/2021,1,Fleet_Advisory,,,,,H,,
04/21/2021,2,Fleet_Advisory,,,,,H,,
04/21/2021,3,Fleet_Advisory,,,,,H,,
04/21/2021,4,Fleet_Advisory,,,,,H,,
04/21/2021,5,Fleet_Advisory,,,,,H,,
04/21/2021,6,Fleet_Advisory,,,,,H,,
04/22/2021,1,Fleet_Advisory,,,,,H,,
04/22/2021,2,Fleet_Advisory,,,,,H,,
04/22/2021,3,Fleet_Advisory,,,,,H,,
04/22/2021,4,Fleet_Advisory,,,,,H,,
04/22/2021,5,Fleet_Advisory,,,,,H,,
04/22/2021,6,Fleet_Advisory,,,,,H,,
04/23/2021,1,Fleet_Advisory,,,,,H,,
04/23/2021,2,Fleet_Advisory,,,,,H,,
04/23/2021,3,Fleet_Advisory,,,,,H,,
04/23/2021,4,Fleet_Advisory,,,,,H,,
04/23/2021,5,Fleet_Advisory,,,,,H,,
04/23/2021,6,Fleet_Advisory,,,,,H,,
04/24/2021,1,Fleet_Advisory,,,,,H,,
04/24/2021,2,Fleet_Advisory,,,,,H,,
04/24/2021,3,Fleet_Advisory,,,,,H,,
04/24/2021,4,Fleet_Advisory,,,,,H,,
04/24/2021,5,Fleet_Advisory,,,,,H,,
04/24/2021,6,Fleet_Advisory,,,,,H,,
04/25/2021,1,Fleet_Advisory,,,,,H,,
04/25/2021,2,Fleet_Advisory,,,,,H,,
04/25/2021,3,Fleet_Advisory,,,,,H,,
04/25/2021,4,Fleet_Advisory,,,,,H,,
04/25/2021,5,Fleet_Advisory,,,,,H,,
04/25/2021,6,Fleet_Advisory,,,,,H,,
04/26/2021,1,Fleet_Advisory,,,,,H,,
04/26/2021,2,Fleet_Advisory,,,,,H,,
04/26/2021,3,Fleet_Advisory,,,,,H,,
